,country,article,deviation
385,Slovakia,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
386,Slovakia,SECURITY OF PROCESSING (ART 32),No
387,Slovakia,DATA BREACH (ART 33 & 34),No
388,Slovakia,DATA PROTECTION OFFICER (ART 37(4)),No
389,Slovakia,DATA TRANSFER DEROGATIONS (ART 49(5)),No
390,Slovakia,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
391,Slovakia,CLASS ACTIONS (ART 80 (2)),No
392,Slovakia,ADMINISTRATIVE SANCTIONS (ART 83),Yes
393,Slovakia,PENALTIES (ART 84),No
394,Slovakia,HR PROCESSING (ART 88),No
395,Slovakia,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",No
396,Slovakia,OBLIGATIONS OF SECRECY (ART 90),Yes
397,Slovakia,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
398,Spain,LAWFULNESS OF PROCESSING (ART 6),Yes
399,Spain,CHILD'S CONSENT (ART 8),Yes
400,Spain,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",Yes
401,Spain,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),No
402,Spain,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
403,Spain,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
404,Spain,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
405,Spain,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),Yes
406,Spain,SECURITY OF PROCESSING (ART 32),No
407,Spain,DATA BREACH (ART 33 & 34),No
408,Spain,DATA PROTECTION OFFICER (ART 37(4)),Yes
409,Spain,DATA TRANSFER DEROGATIONS (ART 49(5)),No
410,Spain,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
411,Spain,CLASS ACTIONS (ART 80 (2)),No
412,Spain,ADMINISTRATIVE SANCTIONS (ART 83),Yes
413,Spain,PENALTIES (ART 84),No
414,Spain,HR PROCESSING (ART 88),No
415,Spain,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
416,Spain,OBLIGATIONS OF SECRECY (ART 90),Yes
417,Spain,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
418,Spain,REMARKS,Yes
419,Sweden,SME EXCEPTION,No
420,Sweden,LAWFULNESS OF PROCESSING (ART 6),No
421,Sweden,CHILD'S CONSENT (ART 8),Yes
422,Sweden,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",No
423,Sweden,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
424,Sweden,INFORMATION OBLIGATION (ART 13 & 14),No
425,Sweden,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
426,Sweden,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
427,Sweden,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
428,Sweden,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),No
429,Sweden,SECURITY OF PROCESSING (ART 32),No
430,Sweden,DATA BREACH (ART 33 & 34),No
431,Sweden,DATA PROTECTION IMPACT ASSESSMENT (ART 35),No
432,Sweden,DATA PROTECTION OFFICER (ART 37(4)),No
433,Sweden,CERTIFICATION (ART 42),No
434,Sweden,DATA TRANSFER DEROGATIONS (ART 49(5)),No
435,Sweden,POWERS OF SUPERVISORY AUTHORITIES (ART 58),No
436,Sweden,CLASS ACTIONS (ART 80 (2)),No
437,Sweden,ADMINISTRATIVE SANCTIONS (ART 83),Yes
438,Sweden,PENALTIES (ART 84),No
439,Sweden,FREEDOM OF EXPRESSION AND INFORMATION (ART 85),No
440,Sweden,HR PROCESSING (ART 88),No
441,Sweden,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
442,Sweden,OBLIGATIONS OF SECRECY (ART 90),No
443,Sweden,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
444,Sweden,REMARKS,Yes
445,United Kingdom,LAWFULNESS OF PROCESSING (ART 6),Yes
446,United Kingdom,CHILD'S CONSENT (ART 8),Yes
447,United Kingdom,"SENSITIVE DATA (GENETIC, BIOMETRIC AND HEALTH DATA) (ART 9(4))",No
448,United Kingdom,CRIMINAL CONVICTIONS/SECURITY MEASURES (ART 10),Yes
449,United Kingdom,AUTOMATED INDIVIDUAL DECISION MAKING (ART 22),No
450,United Kingdom,RESTRICTIONS TO DATA SUBJECT'S RIGHTS (ART 23),Yes
451,United Kingdom,JOINT CONTROLLER RESPONSIBILITIES (ART 26 (1)),No
452,United Kingdom,AD HOC NOTIFICATIONS - RECORDS OF PROCESSING ACTIVITIES (ART 30),Yes
453,United Kingdom,SECURITY OF PROCESSING (ART 32),Yes
454,United Kingdom,DATA BREACH (ART 33 & 34),Yes
455,United Kingdom,DATA PROTECTION IMPACT ASSESSMENT (ART 35),Yes
456,United Kingdom,DATA PROTECTION OFFICER (ART 37(4)),Yes
457,United Kingdom,CERTIFICATION (ART 42),No
458,United Kingdom,DATA TRANSFER DEROGATIONS (ART 49(5)),No
459,United Kingdom,POWERS OF SUPERVISORY AUTHORITIES (ART 58),Yes
460,United Kingdom,CLASS ACTIONS (ART 80 (2)),Yes
461,United Kingdom,ADMINISTRATIVE SANCTIONS (ART 83),No
462,United Kingdom,PENALTIES (ART 84),No
463,United Kingdom,FREEDOM OF EXPRESSION AND INFORMATION (ART 85),No
464,United Kingdom,HR PROCESSING (ART 88),Yes
465,United Kingdom,"PROCESSING FOR ARCHIVING, SCIENTIFIC, HISTORICAL RESEARCH OR STATISTICAL PURPOSES (ART 89)",Yes
466,United Kingdom,OBLIGATIONS OF SECRECY (ART 90),Yes
467,United Kingdom,LOCAL DPA GUIDANCE AND LEGAL SOURCES,Yes
468,United Kingdom,REMARKS,Yes
